P,L,EI,delta
3.491849611065676982e+03,1.718974492367586926e+00,1.816397933688934194e+06,0.000000000000000000e+00
7.114273288411008252e+03,5.454039414168985189e+00,4.742085181802028790e+06,1.406871126205910816e-02
8.182655123493938845e+03,4.037934080917755963e+00,2.002492913026088791e+05,4.956662773143959144e-02
3.020292607041829342e+03,6.573075340703478986e+00,9.939204641172077507e+06,0.000000000000000000e+00
6.408701431872066678e+03,7.969775951623303989e+00,4.541745560507870978e+05,1.427350817460168730e-01
7.202589930232844608e+02,6.588398910635375749e+00,8.014346575215742923e+06,1.759881772513376868e-03
4.885895497050015365e+03,8.921677680852937442e+00,1.662508305763370823e+06,3.260783334885358764e-02
1.022187595510206506e+03,7.122813231587505456e+00,3.716242489617468673e+05,1.749578619185542666e-02
2.495627192623713654e+03,3.484226833380228427e+00,5.515616815570103005e+06,3.587321377642750490e-03
5.733684263960717544e+03,9.733056640681194693e+00,4.332141794748090208e+06,3.695188427567447365e-02
4.056115648239683196e+03,5.894555860991075313e+00,3.025764236382677220e+06,1.615754972805898484e-02
3.620843781339259749e+03,1.404412703106849847e+00,1.062683783894006483e+05,6.980442491887528869e-03
7.188506294898471424e+03,2.132947982633366379e+00,9.811716975369244814e+06,0.000000000000000000e+00
8.278890548149025562e+03,9.524302716158288717e+00,2.924994762481083628e+06,3.602494829170572316e-02
7.133559950778698294e+03,6.400548386756258701e+00,5.390446945408387110e+05,6.277632123988119428e-02
6.213776410603405566e+03,5.186785853322199102e+00,6.725813043146287091e+06,0.000000000000000000e+00
7.804308635777606469e+02,4.434886182283172218e+00,5.345227120170011185e+06,0.000000000000000000e+00
1.542832174458356576e+03,9.107420917037995167e+00,3.513502087366635446e+06,0.000000000000000000e+00
1.403800541657243457e+03,5.221611823823611331e+00,3.963910136339960620e+06,3.037598713562922152e-03
3.036675216917901253e+03,7.438808730792620949e+00,3.684025250622740015e+06,1.118285971342027930e-02
9.422511079986827099e+03,8.196402587862372968e+00,2.842960692222253419e+06,5.198357337450640325e-02
2.925449234622212316e+03,7.556973488120125815e+00,4.178672064565476961e+06,8.437253663961991751e-03
5.488001989022597627e+03,6.013014652157071538e+00,6.613058673400360160e+06,1.256832306055450516e-02
8.667551101286973790e+03,7.176704177228621973e+00,8.538719368358440697e+06,0.000000000000000000e+00
2.035493123510420446e+03,2.218807123134056702e+00,8.739513424514396116e+06,0.000000000000000000e+00
7.946027864972803400e+03,5.631886350401645203e+00,8.596971423517109826e+06,0.000000000000000000e+00
2.491776756778663639e+03,6.411401657520687358e+00,5.951214738089298829e+06,0.000000000000000000e+00
9.622668075525596578e+03,6.266701802290788770e+00,5.944555737806918100e+06,1.266758413278145680e-02
9.788032395010666733e+03,1.208598266494078866e+00,7.015084437393716536e+06,0.000000000000000000e+00
7.848770057628585164e+03,9.429776728107199801e+00,7.947332319499754347e+06,3.681933742600791704e-03
7.359325250465460158e+03,1.812173689095665896e+00,8.585372748152371496e+06,0.000000000000000000e+00
5.503589144364268577e+02,8.558035506935343761e+00,1.237620811251612846e+06,1.692116770917350549e-02
5.876498237769762454e+03,4.109160346036127898e+00,5.357464249286283739e+06,1.865715256254079149e-02
4.350559273313191625e+03,4.545332797405368552e+00,5.089086985031504184e+06,1.398498458246411752e-02
7.042136070152359935e+02,1.181712576344932764e+00,3.295042250158266164e+06,8.468826245314097639e-03
6.997961958920625875e+03,7.891209915000628961e+00,9.108105047107230872e+06,4.677639995262494743e-05
6.410902195636072065e+03,2.077297917875737365e+00,7.376361285535528325e+06,1.117144993604416749e-02
5.134671074740955191e+03,1.541701607206302782e+00,2.904340052340332419e+06,0.000000000000000000e+00
9.794251797226079361e+03,5.099940284084380160e+00,2.253594850313695613e+06,1.705989863669046813e-02
6.596882943056815748e+03,5.951739668590595222e+00,5.843942531397518702e+06,0.000000000000000000e+00
9.972773535682799775e+03,4.338326523992593664e+00,3.487040458938869648e+06,8.615642518377018139e-03
2.237292201942775137e+03,1.736807339047919285e+00,9.681805760538678616e+06,9.523946038982792836e-03
1.962593834119197709e+03,7.145485417854690269e+00,6.526204210295041092e+06,0.000000000000000000e+00
1.806755263699443731e+03,7.107031814358061084e+00,8.712991129461171106e+06,0.000000000000000000e+00
3.064560394587658266e+03,5.748538923833823588e+00,4.693172685908773914e+06,1.177038334459183481e-02
1.376940308903484492e+03,5.343780573437596715e+00,3.673395869816377293e+06,5.475545162580217583e-03
5.716075526754252678e+03,1.947016776999833443e+00,2.437200096981804818e+06,0.000000000000000000e+00
4.023706522858626613e+03,9.767565387818603284e+00,2.812258824603382498e+06,2.844918995259365646e-02
9.698997074913039569e+02,3.574304802891228761e+00,9.580549840885123238e+06,3.687395911659853507e-03
5.170351684807998936e+03,5.860807064773989161e+00,9.709967495881168172e+06,0.000000000000000000e+00
3.957002634239696818e+03,4.554198819191180192e+00,4.338473635618128814e+06,9.911570369995017019e-03
8.372940128025787999e+03,3.658819671248905170e+00,3.121797416573107708e+06,9.910689366454991222e-04
4.705734410891799598e+03,8.908099419269420949e+00,3.921636091756824404e+06,2.636237899005766661e-02
7.871468409825303752e+03,5.540794198382474001e+00,2.067425006102408981e+06,8.721654953673552146e-03
9.923684001811472626e+03,8.045489697842201693e+00,3.579090575248735491e+06,1.937283680791360846e-02
8.590262130240245824e+03,6.489237876731695387e+00,2.987643567972176243e+06,1.441438458765325302e-02
9.835264734766027686e+03,8.700593257323159690e+00,9.919341401498867199e+06,0.000000000000000000e+00
4.393519870698738487e+03,3.161221411770145817e+00,3.583900308890474029e+06,1.345479455340284521e-02
9.558348971355313552e+03,4.454602730705719438e+00,4.046949304653641302e+06,1.256218470470032295e-02
9.828459753452465520e+03,8.401042309481145054e+00,5.977069666485863738e+06,3.386152659148863181e-02
2.056896413794588625e+03,3.245955495360826948e+00,2.671590360313726123e+06,0.000000000000000000e+00
7.877384314792626355e+03,2.213142063861691433e+00,2.139210926759112161e+06,7.579603025290822249e-03
6.538949036346748471e+03,1.096372743944823203e+00,1.033365631192616303e+06,4.833602550587137725e-03
8.369739459941016548e+02,2.301553364368892129e+00,6.437343191334702075e+06,1.470067590763731932e-02
1.397680737775548096e+03,5.933023191073772296e+00,3.518130523696510354e+05,2.339574160423665838e-02
4.188875426325116678e+02,4.623155916846578783e+00,1.428179219401191454e+06,4.751285852121641534e-03
4.835779494956586859e+03,8.484498750828429081e+00,4.487717239245170727e+06,2.017179430142163055e-02
4.907601592639037335e+03,1.062386194075395585e+00,3.615075845173418988e+06,1.176058251009866502e-02
9.478933864167109277e+03,8.715702441079109519e+00,7.625929087173297070e+06,2.404772093536962363e-02
2.917279743254461209e+03,3.432036112337288003e+00,2.328080722842065617e+06,0.000000000000000000e+00
4.726922327117266832e+03,3.786937968846959546e+00,8.759933639299266040e+06,0.000000000000000000e+00
8.564732762808491316e+03,8.170823085887658266e+00,3.758446448877386283e+06,1.163390144466118145e-02
6.750871066808323121e+03,7.123179694310438848e+00,6.674792040190485306e+06,8.435077242917237567e-03
6.441749413501420349e+03,3.882680803821279447e+00,1.233360992735051695e+05,5.702297418002003765e-02
6.484456556913485201e+02,5.721637005330357795e+00,5.138104545647770166e+06,0.000000000000000000e+00
5.925424873108856445e+03,4.002862807379762522e+00,1.880254449505166616e+06,5.989536524838303191e-03
4.321354755986353666e+03,4.597494156377255337e+00,3.344712592390791513e+06,1.783515281719371846e-03
1.193321487038705300e+03,3.013325083565685514e+00,9.622027504594344646e+06,1.842947923554845392e-03
5.536556507111591600e+03,3.693476194364620824e+00,7.904505185760459863e+06,6.788496950989486578e-03
2.133373798343785438e+03,3.264903017206304270e+00,1.461066453742790734e+06,0.000000000000000000e+00
2.754138363687952278e+03,8.602018756759907347e+00,3.947377840937513858e+06,1.888055328971160324e-02
8.141354244631009351e+03,1.763476284384050796e+00,2.358860737592956517e+06,0.000000000000000000e+00
2.919595047180818710e+03,9.699323010576355486e+00,4.809301330107345246e+06,5.411899030389055384e-03
7.480993244684704223e+03,5.760719228645054812e+00,2.476344298003979493e+06,1.129400813151453138e-02
9.752219697797827394e+03,1.872590274919970987e+00,4.293104594735915773e+06,6.593034861831202978e-03
6.364933139639927504e+03,2.953315891653773839e+00,4.087693558796924772e+05,9.077403134676352917e-04
3.559503645229470408e+02,7.839727497637453801e+00,1.014248245283726486e+06,0.000000000000000000e+00
2.121019933373307140e+03,1.660193054253038980e+00,8.982233339734619483e+06,8.617392474929890314e-03
4.789721873655247691e+03,6.728211927706093221e+00,1.400755078598740278e+06,1.075711743735721475e-02
3.178637091406628315e+03,8.407590784285222441e+00,1.013922707197129377e+06,3.546390317306905016e-02
7.271287279544905687e+03,6.880648172015189523e+00,9.749986432941151783e+06,5.764712814951706774e-03
6.811883740481320274e+03,8.310916543880480845e+00,2.217675785923170857e+06,3.910612282291837938e-02
3.640309855925139800e+03,7.768178154225471310e+00,5.689189114404141903e+06,4.903562426781239887e-03
7.592482723401961266e+03,6.811247119713185860e+00,1.687376869742699666e+06,3.418103389793075014e-02
2.433327314105471942e+03,1.945985508687627430e+00,7.604152911706549115e+06,0.000000000000000000e+00
5.301790754446346909e+03,6.502702866687856798e+00,7.745841263795315754e+05,3.763893888098049367e-02
5.163832303363186838e+03,9.855832964546657138e+00,6.304563031958757900e+06,1.664990552794912496e-02
9.409215811075047895e+03,2.278767879361950133e+00,5.463363241482970305e+06,0.000000000000000000e+00
2.103197117631888432e+03,9.874284480872054459e+00,2.559075547263874207e+06,2.317803535745702886e-02
2.147959902572484339e+02,1.777189477729787637e+00,9.562049131627919152e+06,0.000000000000000000e+00
2.871856652552871310e+03,7.093575747577171242e+00,1.006300063386914437e+06,1.430777162699134811e-02
6.547922655772886174e+03,9.152780583564730676e+00,3.264592442338641267e+06,1.588302502320149134e-02
4.231526180881335790e+02,7.327959964058141651e+00,3.383660446377356071e+06,0.000000000000000000e+00
7.748466836355122723e+03,6.942368246774720753e+00,3.505499091217941605e+05,1.696631947805976870e-01
5.204808364021379930e+03,4.524717583610383009e+00,7.781047673817528412e+06,0.000000000000000000e+00
8.183996452343666533e+03,2.330629982182276905e+00,4.576911183615371585e+06,0.000000000000000000e+00
6.400863926166034616e+03,4.763565096429987378e+00,4.719404051671793684e+06,1.577852406829449283e-03
2.682904859218192087e+03,1.228699630139820087e+00,4.558056474698388949e+06,1.325294021928438877e-02
5.243699238742144189e+03,1.727173024374698329e+00,7.728500285194132477e+06,1.680669487744632096e-02
6.510134917168187712e+03,5.086917946460713047e+00,1.873517601573806256e+06,4.616656769213846497e-03
2.528096870252877579e+03,6.667550906805217004e+00,6.586597602392476983e+06,0.000000000000000000e+00
5.480953461454940225e+03,8.422540524370566217e+00,6.896110494070090353e+06,7.177064907435973945e-03
8.785154628675405547e+03,8.397681260273687442e+00,6.794445358441520482e+06,2.019781460513171006e-02
4.255237255780877604e+03,6.728712949335203142e+00,5.973196721721830778e+06,1.003456153101866741e-02
2.667610490424787258e+03,5.096854451831382526e+00,7.912786162281238474e+06,0.000000000000000000e+00
9.250787742049857115e+03,9.429175165519550816e+00,3.551775521087434143e+06,3.989128811273666420e-02
6.666004642867336770e+03,8.403150391369765160e+00,4.339171358639521524e+06,2.526733691440822063e-02
4.456338997971543904e+03,8.540173687518777257e+00,2.614218707759241108e+06,4.265643792144528657e-02
8.697072501833026763e+03,2.015870106146842033e+00,8.963717821117479354e+06,5.381051382221020436e-04
1.666875365135154652e+03,8.199734271960329224e+00,9.087110057165022939e+06,0.000000000000000000e+00
2.179758929229824389e+02,8.255865891403677992e+00,2.773881278526394628e+06,1.261403454490634497e-03
7.380809968828431920e+03,9.586159792001993196e+00,5.568987649508857168e+06,3.376295057308723035e-02
2.868925528346273495e+03,4.843968098829742885e+00,3.462861935600829776e+06,5.088837172212095847e-03
4.331944955245287019e+03,3.335427013700348553e+00,3.123921917875878047e+06,0.000000000000000000e+00
1.194988279153691792e+03,7.193542855560163041e+00,9.556391807985356078e+06,5.106021589728813176e-03
7.853642735293269652e+03,4.966645874531916860e+00,7.973593453710465692e+06,2.621722551948199760e-03
1.438067334252938508e+03,8.827877998919866798e+00,2.396311586173046846e+06,1.234829174479716921e-02
3.200842904508635456e+03,2.032028370319892474e+00,9.517170840646270663e+06,0.000000000000000000e+00
2.702319706774967926e+03,2.378793934320785119e+00,7.609241415726374835e+06,0.000000000000000000e+00
3.260495053043381176e+03,4.779871134149876966e+00,6.503022759428857826e+05,9.812001568309136612e-03
2.983891069619160589e+03,6.312314797088514062e+00,8.041943945776837878e+06,1.178520155971780892e-02
7.147431625590242220e+03,9.313595513955567284e+00,8.792415005560470745e+06,1.417452578801338230e-02
5.893792564765872157e+03,4.514764445000839288e+00,4.270657933439776301e+06,0.000000000000000000e+00
1.170140232773338084e+03,3.519787826898657102e+00,1.746448921020491689e+05,0.000000000000000000e+00
6.934006038940828148e+03,4.297745901586687012e+00,3.009890553603044245e+06,1.797478193593783635e-02
8.869223816643090686e+03,9.345967217539458360e+00,1.037710993611796730e+05,1.453967679478950670e+00
6.700525834210030780e+02,9.106718321697977458e+00,7.602024105824818835e+05,3.380040764428824882e-03
2.361766834741491948e+03,4.436006025016564713e+00,1.706626354283364781e+05,1.001154105542101380e-02
1.132098251473332539e+03,7.802776476292425656e+00,5.154316715763499029e+06,4.077083489155220244e-03
3.238109763040223697e+03,7.893756176846123296e+00,5.971673895839631557e+06,0.000000000000000000e+00
4.371668603183122741e+02,5.104517456738008718e+00,3.620026159866444767e+06,9.178587326077101288e-03
5.690237460528264819e+03,7.742027008869261095e+00,8.818726860731402412e+06,0.000000000000000000e+00
8.865783209860686839e+03,5.901282717815753642e+00,6.577374844682005234e+06,0.000000000000000000e+00
4.024477095044891939e+03,5.336495088113556662e+00,6.424224191601233557e+06,0.000000000000000000e+00
9.169906097290104299e+03,8.203893606090874258e+00,7.183673187083430588e+06,2.729083481525529375e-02
4.667814433162916430e+03,2.165964555811041858e+00,9.430293846025468782e+06,0.000000000000000000e+00
2.927846371342864131e+03,6.236545365052840850e+00,3.846485631653218530e+06,6.535532086721134760e-03
1.183500158866602078e+03,6.126447754017054770e+00,9.547104926109755412e+06,0.000000000000000000e+00
9.858039161523276562e+03,5.638606848977919306e+00,1.303689233224670170e+06,2.171357921643802397e-02
5.215903247361858121e+03,4.271720220930598444e+00,9.224323951029160991e+06,1.118092470749378065e-03
3.205947642251993784e+03,9.766919316365520132e+00,4.214949078706924804e+06,1.571539114680480659e-02
2.928133828381038256e+03,4.260265603214167029e+00,5.325051688545417041e+06,0.000000000000000000e+00
5.370472420689930004e+03,3.831051400864069478e+00,3.107248470353062730e+06,8.124880557486061777e-03
7.149076601045270763e+03,3.705136860777027419e+00,6.053273564788389020e+06,0.000000000000000000e+00
2.824631198830347785e+03,7.011198878280119118e+00,8.865067765389962122e+06,1.170497584601758179e-02
4.312217853855910107e+03,1.544422353553167815e+00,3.876791786504362710e+06,1.486678718503684112e-02
8.051564675532718866e+03,5.711271709151511722e+00,9.970089201477853581e+06,0.000000000000000000e+00
3.266174889854583853e+03,9.479655538916894386e+00,9.555901723259590566e+06,1.518615090843682472e-02
2.835378329926042625e+03,6.524483437747588432e+00,4.832778881441937760e+06,0.000000000000000000e+00
5.593580296785553401e+02,3.448684055341516341e+00,5.715195554780291393e+06,0.000000000000000000e+00
3.562810843046202990e+03,9.564170240953679070e+00,6.908768093529842794e+06,9.576514907904737015e-03
6.731916090122995229e+03,2.284099145645327233e+00,7.063498366275214590e+06,0.000000000000000000e+00
2.431176728479338180e+03,6.805608868287226443e+00,1.781183603029822989e+05,1.047850951089677324e-01
9.684572089535053237e+03,2.946166511273545119e+00,6.345798925056559965e+06,1.409904417608890022e-02
9.510036070808650038e+03,3.220074231855473812e+00,4.591529394482784905e+06,4.417653671290286063e-03
5.230693049144745601e+03,3.662856161385896314e+00,4.341760107008062303e+06,1.005216507542320854e-04
6.108042050503040628e+03,9.498014650275155901e+00,8.877647413784718141e+06,3.573679841993349787e-02
9.237863872977564824e+03,1.807703785800598650e+00,8.526595107020409778e+06,0.000000000000000000e+00
9.790743001519529571e+03,8.571636940100709978e+00,1.762227012587902835e+06,6.607238798722651907e-02
5.191032472866589160e+03,5.423825100360714302e+00,3.242640870764231775e+06,1.241430378295673917e-02
7.299906989130258808e+03,7.410334287763690853e+00,9.175157508096089587e+06,1.478313454130728011e-03
1.192244604113379182e+03,6.780262661975980265e+00,2.500671746518458240e+06,1.135525961361698311e-02
3.292997296949596603e+03,3.477213256516451079e+00,2.518168763967467472e+06,8.336746439641613826e-03
8.864815095390291390e+03,2.197243661746452581e+00,3.640083184272978920e+06,1.592999696065007173e-02
6.558711374707746472e+03,4.539346361017556397e+00,7.402187196077924222e+06,4.288027030326512813e-03
7.075856151849367052e+03,2.288311075359396263e+00,5.931868135551222367e+05,0.000000000000000000e+00
2.061946657079986835e+03,5.372518304043913062e+00,4.149630582832546905e+06,1.500164448253055866e-02
1.884916852700284380e+03,7.590797953296884337e+00,4.849845974675411358e+06,2.404911681470551892e-03
9.134010009176079620e+03,5.432707069665718258e+00,7.699727719731256366e+06,6.010846234961387397e-03
7.378159718894199614e+03,8.911504711526037070e+00,8.722647156409735326e+05,1.141551545050051020e-01
6.936650645720684224e+03,1.669826463889305446e+00,2.937795962187962141e+06,5.578243897700996094e-03
9.285159432761842254e+03,3.796471664306549698e+00,8.267271695838881657e+06,1.581422744403752044e-03
6.436657479051744303e+03,3.896288856482234664e+00,7.855201437707452569e+05,7.228446511992765375e-03
4.961772953875700296e+03,4.266912432940782374e+00,1.232692018498197140e+05,5.259537742186881637e-02
5.528281131477166127e+03,6.299398427684471002e+00,1.495215509874871932e+06,1.890181171642943761e-02
6.824862397546332431e+03,6.542304249123075621e+00,1.398592366122946609e+06,1.491773991458121909e-02
8.219099283883080716e+03,2.185526525893242589e+00,1.058374076266984921e+06,5.786130362266464662e-03
7.612305112826138611e+03,9.014284233226270260e+00,8.795197268971664831e+06,4.176203832231509261e-03
6.209928785395865816e+03,6.127081721205463793e+00,1.881413410538828000e+06,9.154325619693462826e-03
8.248441091177321141e+03,5.714765474073664642e+00,2.234045410514999181e+06,1.913149493252889327e-02
3.825681415250456212e+03,9.309403968577756316e+00,7.319821899512202479e+06,2.073404122475825534e-02
5.866029808814600983e+03,1.544257113379511770e+00,7.708926524409605190e+06,2.123462531973269694e-03
1.628354936353497351e+03,9.369719335071565069e+00,1.040849342878488358e+06,2.998784523257874354e-02
1.124164414092059587e+03,8.334190878029897220e+00,3.887584774355846457e+06,1.152998781822075700e-02
9.167507197278961030e+03,7.183362007638100621e+00,5.621782997782219201e+06,1.829832001820216186e-02
9.273739340704389178e+03,2.625638808342632746e+00,3.597914341007868759e+06,0.000000000000000000e+00
2.266224675753288921e+03,1.373111216733671203e+00,4.107725416321124882e+06,1.445187370650006554e-02
2.227444465302630761e+03,1.366587712716233138e+00,8.016456502204212360e+06,1.080829563882461548e-02
4.428676610420246107e+03,1.662460847809509090e+00,8.151672298741243780e+06,0.000000000000000000e+00
2.596129703368662831e+03,4.268814782829798204e+00,8.799720126009743661e+06,3.543398516283957113e-03
1.967813450703808712e+03,8.059299994771304654e+00,8.548424553878951818e+06,4.179187924710916352e-03
3.051642670211347649e+03,6.558027534146456894e+00,8.175248328878093511e+06,0.000000000000000000e+00
1.230999151486655137e+03,3.682422809169714206e+00,6.662047144887738861e+06,0.000000000000000000e+00
1.444424510329495206e+03,6.998889824955221606e+00,8.565556073762157932e+06,0.000000000000000000e+00
6.606076004015754734e+03,5.015993879055286264e+00,5.453706741447945125e+06,8.937572897696954496e-03
1.941025931881816405e+03,4.684792820702724292e+00,6.744488898613519967e+06,1.169977168772575338e-03
6.977883854016912665e+03,7.398775334577135432e+00,3.485659589492806233e+06,1.580859808117400164e-02
1.749580796307269566e+03,3.038428345789236484e+00,8.785314149219224229e+06,0.000000000000000000e+00
5.607410234587385276e+03,1.137565522826589071e+00,6.092598026344611309e+06,1.312928952879287466e-02
9.906387469697439201e+02,9.475612167248311124e+00,4.048094826735930983e+06,0.000000000000000000e+00
3.946671647090258375e+03,7.396399509583797105e+00,1.303077567220604280e+06,3.211896393810426131e-02
4.202273970626844857e+03,2.651856164964524254e+00,6.688360526711829007e+06,0.000000000000000000e+00
4.132793889813790884e+03,3.938040559308354727e+00,9.354113476085292175e+06,0.000000000000000000e+00
9.711439506224784054e+03,7.015560780131989027e+00,8.835639752123149112e+06,8.284878474331791587e-03
5.386652698093768777e+03,2.332452136783076391e+00,5.802981332118635066e+06,0.000000000000000000e+00
6.273689134162735172e+03,1.150347662717224440e+00,2.170736905633825343e+06,0.000000000000000000e+00
2.668233065882257051e+02,8.875158485282199194e+00,7.337717293345407583e+06,4.237402184314553559e-03
2.513099248792001163e+03,2.927408406441013078e+00,3.387204659845327027e+06,1.349650674182381561e-03
6.989190236448857831e+03,4.506519088618356150e+00,6.265292458818384446e+06,0.000000000000000000e+00
1.731013860900183374e+02,1.735554118692472780e+00,2.650209488813416567e+06,7.983342381077947886e-03
7.595064426430484673e+03,1.829703046985555748e+00,4.828803205628223717e+06,0.000000000000000000e+00
8.857564734455832877e+03,3.878341692598680890e+00,6.120033537765460089e+06,6.704092962581557034e-03
8.604585687365286503e+03,8.774539464592439941e+00,4.830663174333383329e+06,2.636808013234989700e-02
2.711232598040333414e+03,9.517712349856685350e+00,1.839796174809310585e+06,3.861945828645260703e-02
8.802706665278050423e+03,7.100744029902010368e+00,9.374144463314054534e+06,1.509376014599009622e-02
2.737211097684970809e+03,5.633250040814901993e+00,2.227388770372631960e+06,1.288448108891674000e-02
7.869448848041919518e+03,9.881429923007168270e+00,4.290081395451769233e+06,3.759016646632257902e-02
3.836894536131080713e+03,3.669990711644405934e+00,7.924594426485089585e+06,5.753145191137545335e-04
4.248265539261569188e+02,5.544160693792856698e+00,4.055702176098370925e+06,2.842232527648052426e-02
1.282298781569188350e+03,1.761821210626381085e+00,8.046604494215254672e+06,0.000000000000000000e+00
1.201914294152926686e+03,5.510387349362606102e+00,7.184970374199039303e+06,2.466661216597026973e-03
8.071550542299727567e+03,9.398070206971386398e+00,2.959186096432530321e+06,5.421920681805943859e-02
2.201940426509842837e+03,2.075300658094637818e+00,4.796701960950433277e+06,9.950458507197159838e-04
8.442794250376806303e+03,3.456778345507595773e+00,9.015496380138915032e+06,0.000000000000000000e+00
4.841375893281472599e+03,6.686885027588455266e+00,5.944838217329720035e+06,2.889803577632318529e-03
2.749906984274891784e+03,2.729719062539597729e+00,7.891640079927515239e+06,7.213436765480135161e-03
8.460898485432206826e+02,8.933224040061261917e+00,7.983528127785692923e+06,3.575302608238244313e-03
8.831177519124361424e+03,6.426788725971964489e+00,6.386097525838424452e+06,1.736589376896959663e-02
1.031153951755959042e+03,4.688680682322971194e+00,6.580717570059794933e+06,2.028931480801106975e-04
1.691907110728060616e+03,5.145545146140616311e+00,6.733135491389033385e+06,0.000000000000000000e+00
2.907560651740327557e+03,8.375425504125505682e+00,2.544952338432373479e+06,1.917254824581083456e-02
7.842145606341806342e+03,1.483178847861093663e+00,3.733036032937639393e+06,6.213025831293659564e-05
7.417810814224214482e+03,7.067675450935230863e+00,1.964592107936345041e+06,3.504551268868820457e-02
7.513168565314107582e+03,1.233159727849544529e+00,3.751696238089085091e+06,2.000241793421223511e-03
2.966604934189278993e+03,1.756636125287957650e+00,6.326190393388517201e+06,0.000000000000000000e+00
5.754700411764370983e+03,1.154351517708545938e+00,6.812642881888994016e+06,0.000000000000000000e+00
9.205186867192363707e+02,6.866409309681650974e+00,9.233990263193773106e+06,8.556822491522637214e-03
1.973090909212158977e+03,3.254222697574248535e+00,9.570432813707135618e+06,0.000000000000000000e+00
1.711737737334094902e+02,4.864019868858624918e+00,5.274915355995632708e+06,2.353706083833860866e-04
9.409389258815766880e+03,6.713416554844405582e+00,3.512653312351943925e+06,2.026681605869299144e-02
9.908958834447532354e+03,6.513989100690048772e+00,8.410910560586439446e+06,2.338494860260587581e-03
3.781068017206037439e+03,8.295776519660286397e+00,3.575314762396019418e+06,1.019993094296709792e-02
9.379659252547115102e+03,5.964873158249892171e+00,9.338194694284277037e+06,1.170943082198280458e-02
2.304766729513058635e+03,1.996693939196851453e+00,3.448286751121115871e+06,0.000000000000000000e+00
5.255447063688704475e+03,9.928851282734923345e+00,7.344161494582032785e+06,1.373106438385009870e-02
5.436744612645552479e+03,7.912581221368752082e+00,2.776307889388964046e+06,1.522137645972343294e-02
1.357529487328541791e+02,8.119844084602139134e+00,3.599937864367589820e+06,0.000000000000000000e+00
1.546979254659647495e+03,8.962963584303441422e+00,7.374177049018658698e+06,1.478305640396016668e-02
8.844954489948006085e+03,8.472573536790132920e+00,7.527328621895742603e+06,1.538076549606411450e-02
8.687419050708555005e+03,9.140912724109885090e+00,6.003708280483598821e+06,1.495023333670790662e-02
8.897692361748933081e+02,6.158697767640476606e+00,5.745860501340865158e+06,0.000000000000000000e+00
5.829313130680840914e+03,8.949369934782268388e+00,5.028590373397304676e+06,2.153220900422762180e-02
3.345950041349523417e+03,6.283745656179633876e+00,9.336753770792610943e+06,0.000000000000000000e+00
3.942340751537608412e+03,2.600646934049406944e+00,5.900308466570604360e+05,0.000000000000000000e+00
1.052773144281980876e+03,1.769489612819204805e+00,4.828458143287078710e+05,2.346726971601708310e-03
8.035184041713207080e+03,2.838720063699366136e+00,7.867497199916342273e+06,2.525919766269482929e-03
8.447035082253018118e+03,1.019340032478164959e+00,6.614226888507930562e+06,1.261745214175439200e-03
4.041521229801512163e+03,9.223241778117680312e+00,3.546857926109444816e+06,2.855781605399580411e-02
4.579551751733291894e+03,4.776086962735131891e+00,2.183771923937791958e+06,3.937909203021854390e-03
1.792298935348624127e+03,7.763751036022120466e+00,9.318359738922340795e+06,0.000000000000000000e+00
7.696681371268732619e+03,2.342838053387220398e+00,9.503372953449651599e+06,5.873524785187484668e-05
7.049336065147624140e+03,3.479266154849085524e+00,2.690134609991990030e+06,3.219094085432467126e-03
1.166197885604550265e+03,2.818732108786778490e+00,8.001452014785761945e+06,1.110120552165276553e-02
6.664290707876577471e+03,7.393812859920403824e+00,3.137372635071688332e+06,3.267083307571610334e-02
5.572858510716025194e+03,6.779050740623574711e+00,9.997588299127096310e+06,1.609535301366860332e-03
6.749256322476858259e+03,1.181146829338997950e+00,3.874639128093711566e+06,0.000000000000000000e+00
8.136322596922042067e+03,5.953098522130175319e+00,8.821558487366993213e+05,3.528390471044150906e-02
6.856524679639683200e+03,1.225690104737239494e+00,8.729429776209553704e+06,0.000000000000000000e+00
2.304193700817529589e+03,8.948272926454411191e+00,6.201184862346496433e+06,1.094873938397286639e-02
3.339798171665522659e+03,8.635190573888223753e+00,7.095863557429394685e+06,1.343680122838630114e-02
6.785184152688791983e+03,7.180448836310358018e+00,5.433911881386612542e+06,1.964900117991191103e-02
3.849069263582832264e+03,4.485120231413958436e+00,6.587851353590193205e+06,5.012389029039989070e-03
2.231346192515977691e+03,7.847488847513471200e+00,3.290965238048615400e+06,0.000000000000000000e+00
6.017596873201956441e+03,9.698834395989395674e+00,7.995604291928381659e+06,5.397410045304308970e-03
9.078388777027399556e+03,7.574113878469146854e+00,3.253728327418498695e+06,2.628564562659117809e-02
1.431785392417592220e+03,8.290709279266110343e+00,6.998641507739319932e+05,2.010041343552931153e-02
1.329523365305616835e+03,6.471721326435247335e+00,8.213871058112657629e+06,3.661314722051682916e-03
1.661340148821919684e+03,9.498387895503023870e+00,4.836187744477826171e+06,2.473321054388963498e-03
2.107842660350618189e+03,8.037835075735948465e+00,7.749758735190735897e+05,1.456971579321935523e-02
9.673243762901453010e+03,5.777305490116711795e+00,8.725549950528435409e+06,5.525177852418837812e-03
5.190005869665726095e+03,3.299430982813731372e+00,7.050040236412204802e+06,6.554123212081817626e-03
